modules,Biomass,Nr_shoots,Shoots_with_ear,Shoots_without_ear,Nr_ears,Full_ear,Half_ear,Weight_ear,Nr_seeds,Mature_seeds,Poor_seeds,all.seeds.weight,TKW,Digital.Biomass,Height,M.Height,leaf_angle,LA,LAI,LAP,LIc,LPD,d13C,Carbon.discrimination,iWUE
MEcornsilk,0.142093972,1.24E-11,1.54E-10,0.254192214,3.50E-10,0.00011247,3.22E-25,0.001055895,0.426727434,0.304480494,0.047336881,0.006787872,2.29E-05,1.82E-05,9.63E-07,1.44E-05,2.48E-48,3.33E-06,3.40E-06,6.50E-12,2.80E-46,1.30E-06,0.060978796,0.062003106,0.062003107
MEantiquewhite2,0.000117857,0.487362852,0.686661789,1.22E-09,0.596042252,0.159059277,7.39E-05,0.022141588,0.03209454,0.092840172,3.01E-21,0.02616658,0.034520206,0.476048385,0.069932114,0.001975934,1.84E-33,0.729222922,0.728294379,0.663279153,2.22E-30,0.004609463,0.006701199,0.006825132,0.006825132
MEindianred1,0.717701978,0.524962247,0.356967765,2.11E-06,0.90667201,0.305552249,1.54E-09,0.550856094,0.00326764,0.011804416,1.63E-16,0.820994234,0.000322786,3.57E-07,7.66E-22,3.49E-15,2.67E-30,5.43E-05,5.51E-05,2.02E-06,5.56E-23,3.60E-21,0.000879502,0.00087872,0.00087872
MEcornflowerblue,0.039622127,1.34E-09,0.000179638,2.57E-09,0.000379035,0.026366569,1.91E-07,0.402950437,0.753720195,0.594533246,0.308214845,0.788240345,0.007180779,5.83E-05,0.021921845,0.008436645,2.13E-13,2.31E-06,2.32E-06,5.58E-11,1.10E-15,0.220366377,0.036152246,0.03685428,0.03685428
MEorangered4,3.88E-06,0.003623008,0.588979257,4.30E-15,0.548867436,0.445130133,5.78E-05,0.92044015,0.254059428,0.257784908,0.417613062,0.219675976,1.73E-09,4.71E-14,1.33E-21,2.00E-26,3.60E-13,1.04E-09,1.07E-09,7.13E-11,1.38E-12,5.40E-27,0.001015814,0.001031469,0.001031469
MEdeeppink,0.049725532,0.147807106,0.689050975,1.98E-10,0.753885224,0.819916053,9.46E-25,0.120759554,0.830131913,0.69200665,8.91E-05,0.001213238,7.25E-26,9.96E-06,4.18E-13,2.82E-15,2.93E-06,0.000973379,0.000979491,2.16E-06,6.40E-08,6.81E-12,0.008861664,0.008897992,0.008897992
MEmaroon,8.87E-09,1.03E-05,6.54E-07,4.55E-18,4.73E-08,4.56E-13,9.81E-160,1.19E-08,1.96E-08,3.28E-08,0.012238426,6.33E-06,2.73E-09,0.002474492,0.029828311,0.027352964,1.02E-21,0.005327663,0.005333848,0.060084187,1.38E-24,0.008855108,2.87E-17,3.12E-17,3.12E-17
MEdarkorange2,0.006125409,2.57E-08,7.45E-12,2.70E-09,4.99E-12,5.39E-13,8.71E-08,1.20E-16,4.16E-11,7.84E-12,0.004111045,1.19E-23,5.00E-12,1.23E-11,2.58E-19,2.75E-12,0.012660741,3.82E-08,4.08E-08,2.28E-06,0.02562694,2.67E-19,1.66E-13,1.76E-13,1.76E-13
MEcyan,8.25E-10,0.000776927,0.005233309,0.029530186,0.012551184,0.238575832,0.000160478,0.681202295,0.522293744,0.244052153,7.82E-22,0.390144729,0.737591932,2.65E-05,5.48E-06,1.19E-06,0.007639289,4.43E-05,4.33E-05,0.004410689,0.000809668,3.11E-05,0.147720178,0.149536511,0.149536511
MEblue1,0.98263741,0.009690741,0.045721223,0.000386082,0.10830437,0.090734753,0.060531095,0.083774205,0.929069249,0.645325668,6.76E-12,5.74E-05,7.06E-12,5.11E-07,9.46E-32,1.02E-29,0.010357433,0.004640124,0.00476545,0.004638489,0.077113953,9.31E-50,0.201887489,0.201983539,0.20198354
MEplum4,2.61E-07,0.40438364,0.280350621,0.027941169,0.258785638,0.723608245,5.66E-11,0.034885642,0.064351733,0.114031966,2.60E-09,0.44242717,0.032204873,0.003141216,0.477102164,0.582737651,0.109191628,9.64E-06,9.29E-06,4.70E-08,0.012109822,3.84E-05,0.133501293,0.133618656,0.133618656
MEgrey60,2.31E-31,4.49E-06,1.72E-08,1.57E-05,1.52E-08,2.16E-08,0.009425187,3.03E-14,4.28E-11,1.38E-08,0,8.40E-15,9.00E-28,7.38E-10,0.017065622,0.007421748,0.001756298,1.18E-13,1.15E-13,4.66E-11,0.000188086,0.008538802,3.40E-09,3.41E-09,3.41E-09
MEplum3,7.44E-36,2.26E-22,7.14E-23,0.009719076,8.30E-26,1.31E-21,0.367124223,2.41E-24,3.86E-19,1.59E-16,8.04E-108,8.05E-14,0.000780878,8.66E-13,0.056701706,0.009890459,0.000513601,4.74E-21,4.49E-21,1.58E-24,0.002373613,0.602555047,2.03E-16,1.99E-16,1.99E-16
MEivory,2.16E-22,1.14E-06,2.63E-05,0.020998837,5.63E-07,2.38E-07,0.300448912,0.000622266,0.006725309,0.049731515,3.07E-144,0.009699565,0.002868888,1.52E-11,0.000595279,6.10E-06,0.27703951,5.73E-14,5.68E-14,1.10E-11,0.650914877,7.78E-07,0.01595265,0.015808907,0.015808906
MEsalmon,5.19E-15,0.481475747,0.471797427,3.05E-05,0.409209697,0.110683605,0.225590397,0.104594356,0.389532857,0.956346468,4.10E-65,0.099870987,1.51E-09,0.000151136,7.03E-05,1.19E-08,0.098778473,0.000847139,0.0008468,0.015562278,0.097741353,4.79E-08,0.35785633,0.359183054,0.359183056
MEdarkslateblue,2.67E-20,4.35E-17,3.48E-16,4.90E-07,1.18E-16,7.18E-17,1.63E-05,9.13E-20,2.63E-11,6.14E-12,0.027359416,1.85E-24,1.45E-19,6.17E-24,1.23E-23,1.34E-24,0.313501919,5.61E-18,5.71E-18,2.62E-22,0.509691098,7.02E-17,1.45E-08,1.51E-08,1.51E-08
MElightblue3,1.27E-103,1.76E-35,4.92E-37,3.07E-18,1.41E-36,3.74E-38,0.008207837,2.42E-52,6.96E-33,6.11E-30,9.50E-62,5.84E-59,2.09E-57,4.89E-67,2.63E-38,4.39E-40,0.000936953,1.25E-64,1.20E-64,4.78E-63,0.000206221,8.59E-29,7.00E-28,7.50E-28,7.50E-28
MEantiquewhite4,1.32E-261,9.92E-124,4.01E-128,2.76E-38,3.11E-131,2.30E-135,0.000222652,4.06E-166,2.25E-110,1.67E-105,2.55E-30,2.64E-166,4.50E-55,1.45E-272,3.10E-136,8.67E-124,1.89E-09,3.00E-272,3.25E-272,1.45E-230,1.78E-09,1.81E-80,6.37E-114,6.48E-114,6.48E-114
MEorange,8.09E-112,6.12E-90,4.10E-56,0.614518374,1.38E-66,7.45E-76,4.11E-21,8.54E-62,1.09E-54,5.66E-53,7.71E-16,1.69E-51,0.000130537,1.31E-85,1.04E-54,2.90E-70,5.89E-09,2.33E-83,2.60E-83,1.36E-87,1.22E-06,2.94E-42,9.61E-43,9.07E-43,9.07E-43
MEgreen4,1.09E-11,0.037967623,0.158173033,0.166989944,0.119375492,0.57569591,1.02E-11,0.785632847,0.028207892,0.013082269,1.48E-12,0.526909922,0.012014403,1.77E-17,1.30E-24,7.95E-25,1.42E-29,2.80E-17,2.82E-17,3.20E-20,8.54E-25,3.38E-23,0.002241439,0.002255241,0.002255241
MEdarkviolet,2.01E-09,0.964930689,0.832341582,7.66E-10,0.384050713,0.661573615,9.51E-25,0.072051824,0.748627834,0.430499838,2.08E-15,0.000671895,4.73E-58,1.42E-07,1.40E-15,6.84E-22,1.42E-11,5.34E-05,5.40E-05,3.17E-06,3.82E-12,6.16E-21,0.003322049,0.003327604,0.003327604
MEtan,5.59E-07,0.076398786,0.236308098,9.06E-06,0.051056461,0.093530462,9.95E-10,0.312579951,0.086207411,0.04224662,1.36E-09,0.002441479,1.99E-41,4.04E-13,1.21E-35,4.87E-41,9.88E-31,2.02E-07,2.11E-07,3.75E-07,3.82E-24,2.24E-67,0.000119025,0.000120362,0.000120362
MEbrown,0.452688407,0.148227683,0.001738187,2.99E-06,0.007049343,0.27675916,1.92E-18,0.000148587,0.013531183,0.009798829,0.235831,0.00052285,1.61E-09,0.278878924,0.067770813,0.008352015,0.300778315,0.747329603,0.749312314,0.419839538,0.626472056,0.000128919,0.060218554,0.060540328,0.060540329
MEmediumpurple,1.58E-05,2.04E-20,2.50E-33,3.92E-51,5.13E-25,1.00E-17,1.40E-09,2.16E-26,3.04E-23,3.08E-24,0.014265378,2.36E-26,6.91E-17,2.28E-06,0.506754671,0.022456849,9.06E-06,2.87E-10,2.75E-10,2.33E-11,2.28E-06,0.000259883,2.91E-23,2.90E-23,2.90E-23
MEnavajowhite3,3.66E-07,1.57E-29,3.74E-23,0.001199918,5.85E-17,9.75E-12,1.59E-07,4.18E-16,1.07E-14,2.73E-15,0.00453673,2.68E-17,5.13E-11,9.70E-06,0.135015695,0.31679136,0.000527176,5.46E-07,5.53E-07,1.19E-06,0.000312914,0.901313618,3.21E-08,3.07E-08,3.07E-08
MEroyalblue,0.216301506,4.89E-08,9.07E-10,1.09E-20,8.18E-05,0.00251166,7.27E-06,6.02E-07,1.14E-06,4.04E-07,0.005117028,1.61E-07,0.005662963,0.084993356,0.212274741,0.002001633,0.216326109,0.000710485,0.00070492,4.76E-05,0.622436887,0.019259166,0.00022289,0.000219239,0.000219239
MEchocolate2,1.39E-07,0.18810564,0.004123012,0.000290946,0.000113156,0.000113716,0.70778368,3.93E-05,0.061688879,0.176391695,8.35E-25,2.08E-07,2.85E-28,1.37E-05,3.70E-12,2.62E-12,0.007646491,0.000870789,0.000889728,0.019169558,0.108121117,1.19E-22,0.046687502,0.046988387,0.046988387
MEorangered1,0.007209272,0.002845641,0.010813059,0.733514979,0.013684809,0.619334878,1.01E-23,0.366903729,0.069711784,0.039761014,4.54E-05,0.960463026,0.921079865,3.64E-05,4.99E-24,6.10E-23,3.05E-08,0.022456907,0.022678244,0.938765002,2.44E-13,3.28E-44,0.408704064,0.413235395,0.413235396
MEorangered3,0.011480077,0.015611758,0.149113205,1.32E-08,0.103528229,0.395236142,0.000335656,0.181710676,0.00474064,0.002633132,0.008950339,0.306039692,0.584704439,6.49E-06,6.41E-18,1.69E-14,7.94E-05,0.000632815,0.00063772,0.041203036,0.059842749,5.97E-26,0.477512122,0.474766096,0.474766098
MEbrown3,1.53E-11,0.682366297,0.044502113,2.42E-25,0.088827992,0.86132156,0.110498409,0.791604826,0.698514263,0.498227955,1.56E-09,0.101851398,3.34E-07,1.45E-14,2.68E-33,2.33E-43,8.85E-06,5.05E-09,5.07E-09,7.57E-07,3.38E-06,4.12E-44,0.488836382,0.486546695,0.486546695
